opeid8	mode	provider	time	demog_pop_18_to_64_latinx	demog_pop_18_to_64_white	demog_pop_18_to_64_black	demog_pop_18_to_64_all
1063319	drive	mapbox	60	1492746.41199324222547649680681590	1458273.59968456200788393214237214	733099.58981744432151666903597620	4080480.38840637572236078468728222
1063319	transit	otp	60	106492.4931976600736368326	21339.1921401502039324096	48465.8956917032248120890	184296.2730002680571605944
1063328	walk	otp	60	41293.8086982323416215752	30765.2917749321248345621	11731.1531401733880801944	96892.9922047054089888782
1063328	drive	mapbox	60	1481056.21411403193013345280477590	1426904.72217008778988696248877214	727420.04819552601837134213691620	4029730.80783057323045956618782222
1063328	transit	otp	60	135408.6882721309749496117	145370.0124555668426911237	59170.1757666575780385154	396768.0702981797195736261
1063329	walk	otp	60	25805.43198382162772358567	6587.16150785168285900640	17573.30291911684446886971	70610.83569048344384373201
1063329	drive	mapbox	60	1392866.2876658002850599133868165	1209459.0116277974965391189391815	696229.6791484746003353182248606	3678275.2537145715375505222998713
1063329	transit	otp	60	89114.23160801786662026567	23261.41881735376234856756	48107.01502768681310054215	201053.22501663258040366896
1063339	walk	otp	60	7176.158988377822136175871	3170.277850103959778919175	10274.427176317198696634334	24663.435648991384776834967
1063339	drive	mapbox	60	1428535.5329225255441694500715105	1283707.7713484113344888821947175	712981.1288726389458943092373736	3809517.4534007879475073413164623
1063339	transit	otp	60	7343.238295100347130417871	3224.052880380763619320175	10517.145781091207999076334	25132.402341595919016526967
1063342	walk	otp	60	8290.654733830254302902	1013.753306170501571182	1734.516029139188509771	11049.443602918654189885
1063342	drive	mapbox	60	1478413.49649580942837178504903190	1438167.51525790912157090147442714	727291.87431723079955114048821020	4037815.01359331693620065715918022
1063342	transit	otp	60	85521.0416667123320975183	24847.2360097134767282925	33150.1476641073693206240	148099.2498251792622373176
1063344	walk	otp	60	11549.5158991485374128362	9309.1760333576595645650	1142.0841727585689219470	25078.1416586196270846454
1063344	drive	mapbox	60	1460300.98884175160356050614434390	1394687.49431957329239327933777714	717485.44255666263538957184916220	3964619.27319540719160044114940522
1063344	transit	otp	60	92383.21799609127202725610	87794.03960787675467038188	27182.77534813080608790574	234557.64118282188940243420
1063346	walk	otp	60	15696.7334545265024117887	11848.3592096746914777017	9226.8334333176938583476	37643.4051824633647178212
1063346	drive	mapbox	60	1474089.23758229334203059452287790	1437636.08957907432415631657530514	723494.20970391415767150722723220	4028991.90544304358584943999678822
1063346	transit	otp	60	200538.3045631030718271491	91385.5991051511436436938	60437.1533073412751505069	370589.0204395114002384120
1063347	walk	otp	60	11709.7613557169172762936	25726.5619376145306449022	4620.4290410169735246516	50376.5163601271245234290
1063347	drive	mapbox	60	1482838.65909527205209964084611590	1433052.06305707021858720486098214	728674.15519617785127521716977620	4039060.50234998075976448060475222
1063347	transit	otp	60	88230.8171383745788041162	125809.5682693542438677665	41058.3342951573940726780	295751.5866888707828024030
1063351	walk	otp	60	4142.5184971394215739448	590.1453754260419890194	10285.5504004869800689608	15406.2255269993706383374
1063351	drive	mapbox	60	1489855.30916511244828413657431590	1424489.74527668501330135972668214	731341.15289023815886798735769620	4039728.88748829212208539567956222
1063351	transit	otp	60	18382.6608831096847841989	4021.9437377522466523111	48360.6915309179596902072	73114.2814450841033952651
1063352	walk	otp	60	7561.720331364253816042571	2891.733335172406664234475	18133.952310638051589091734	30612.912007497587476311267
1063352	drive	mapbox	60	1446309.1258048003855689926243505	1317028.7197456697730260252813575	718242.3888336516824853768769936	3867927.9861161347040221961548623
1063352	transit	otp	60	16132.107349832841524227371	5301.828066579075664294675	29504.238528912844710436934	54436.932316030690807488867
1063354	walk	otp	60	28113.651159449546764501	7172.695160352898798557	13268.884585180348799695	49661.423726346648836681
1063354	drive	mapbox	60	1486601.60781153848802816647220590	1448111.66383609540918432665750214	731297.09334190389423329243503620	4060776.86917728914722522701678222
1063354	transit	otp	60	182327.1788806690408052375	111110.5983025919615210990	86008.5191881066358294592	406739.0014915293100290688
1063355	walk	otp	60	21338.62010110602343015240	20139.28938091840909996538	20922.26699222452375233944	72572.49357215482101682470
1063355	drive	mapbox	60	1443447.69146374657763740208156950	1343458.52799186918162098430706094	717176.90384226444518782202561620	3894210.60347065673965773001183362
1063355	transit	otp	60	167304.57767673237533809910	99826.36388612404784586894	82024.25059302635179055708	412794.10190027878226381125
1063356	walk	otp	60	13395.4912662020498196376	952.9263771035497846886	10536.4262462455870342384	24972.9946739457217972742
1063356	drive	mapbox	60	1473863.83628982125188331037830790	1439996.26813705716385879105161714	723760.05793112229811575722652020	4031270.04135341312968900369825822
1063356	transit	otp	60	161026.3713832091196628722	21434.5864647404931161933	65836.8706800865396894739	252295.4364679798043725646
1063358	walk	otp	60	28534.6586742556937167591	2222.1852017371187682241	11177.1082231978461739128	42459.8081664491581455244
1063358	drive	mapbox	60	1483303.77937909238334417957686090	1470856.95531839352596273368875014	727369.25249328542961681774751020	4076204.13963683995823854802190422
1063358	transit	otp	60	214931.8403339983603581425	100595.1697415217009884752	80207.7426064884148957389	418334.4448339291826282181
1063359	walk	otp	60	22788.855073026925373658071	7718.564498763227059407475	22570.559747256093344912034	57096.638449567926840612467
1063359	drive	mapbox	60	1452498.1286245745647138058016385	1356083.3581872343478893860442955	720404.0904274435078718293506076	3919258.8307641469737642509072723
1063359	transit	otp	60	154562.409273656611747709171	75721.516832103193229823975	93378.638554800177196030434	373040.175053305856363975067
1114500	walk	otp	60	3509.985411201352971270	1003.945806151443627748	2468.739245691823613945	7223.121929928472554370
1114500	drive	mapbox	60	1410586.99183459292621308502486090	1341972.83682934081650303719785014	693750.63470702120021275941751020	3821627.16988134920042706393060422
1114500	transit	otp	60	7387.621455741039296530	2934.369159218732540109	6347.014682381475953325	17146.374550003002137286
1114503	walk	otp	60	1851.156114388270722186472	5611.721830340526955042390	529.310399458557325965317	8712.746650202337248226233
1114503	drive	mapbox	60	1320271.75075434861641632950504790	1168240.73070393479029719390137714	630399.73744862119486627268885820	3431687.41344785254632226713962422
1114503	transit	otp	60	1851.156114388270722186472	5611.721830340526955042390	529.310399458557325965317	8712.746650202337248226233
1114505	walk	otp	60	5715.2372016249268560928	17622.0097963938780757369	3586.4355124190973572394	29519.2131664196915005177
1114505	drive	mapbox	60	1421344.35190896183771583849080890	1311673.89011316306049549877974914	700589.49273886242578212713608420	3813843.28029318536458593235304022
1114505	transit	otp	60	14257.4912300361366121798	24461.3934441983806858749	9461.9834414801975717012	53779.3868773292762445662
1114506	walk	otp	60	4251.5950002019135526832	7683.6241116829674214856	3481.4098668110229589298	16066.1266127391548772040
1114506	drive	mapbox	60	1340624.85259023119817997816884790	1227835.58597794186546761240877214	654109.56914279077964762792610820	3538715.31871065993929516246572022
1114506	transit	otp	60	4251.5950002019135526832	7683.6241116829674214856	3481.4098668110229589298	16066.1266127391548772040
1114507	walk	otp	60	1080.4749695296650775531	967.7424650922235991537	185.9535730270657355811	2261.4279113957289191411
1114507	drive	mapbox	60	716937.03850453022937561964935590	745254.55693668583181924160288514	314660.98548532660349466538454220	1907492.62997877060708590075266422
1114507	transit	otp	60	1080.4749695296650775531	967.7424650922235991537	185.9535730270657355811	2261.4279113957289191411
1114508	walk	otp	60	2603.1220817407369029473	7285.8409816613322881220	627.0399967493874710199	11533.5160499614233241198
1114508	drive	mapbox	60	1302255.37193549339446184771348390	1150707.06146007871264440440208514	627777.81434357566027761249102620	3409557.93339470409789695022593622
1114508	transit	otp	60	2603.1220817407369029473	7285.8409816613322881220	627.0399967493874710199	11533.5160499614233241198
1114509	walk	otp	60	20366.0851632520288017566	14496.0366396736863089046	9407.7671057037502189838	47691.4119600783554026300
1114509	drive	mapbox	60	1298666.36350329280185546691219350	1061610.53426259379148372396786694	663190.04422823192044683961761520	3381347.87117750607917995578488862
1114509	transit	otp	60	20366.0851632520288017566	14496.0366396736863089046	9407.7671057037502189838	47691.4119600783554026300
1114510	walk	otp	60	5162.4399586537901224159	3438.2421665084952357825	1478.0893927206873552744	11152.0533496823923652691
1114510	drive	mapbox	60	1478165.68179804866974134486425790	1445471.31419714216345267729189514	726162.26460204329049546624526220	4043621.16868637968508170579691822
1114510	transit	otp	60	43870.2433520365673482089	28648.8897842250403402866	9476.2241097854814889056	90240.2207396976634318082
1114511	walk	otp	60	20142.235630043567038024	1368.464031078592784475	7382.493390717867815150	29728.055781921790715030
